SognName,SognDigDagID,AmtName,AmtDigDagID,StartDate,EndDate
Flakkebjerg Sogn,113257,Sorø Amt,118785,1750-01-01,1950-01-01
Frøslev Sogn,113297,Tryggevælde Amt,118786,1750-01-01,1803-05-25
Frøslev Sogn,113297,Præstø Amt,118791,1803-05-25,1950-01-01
Kirke Såby Sogn,113750,Roskilde Amt,118763,1750-01-01,1808-09-02
Kirke Såby Sogn,113750,Københavns Amt,118762,1808-09-02,1950-01-01
Kirke Stillinge Sogn,113749,Sorø Amt,118785,1750-01-01,1950-01-01
Homå Sogn,113581,Randers Amt,118842,1750-01-01,1950-01-01
Lime Sogn,114174,Randers Amt,118842,1750-01-01,1950-01-01
Bælum Sogn,113145,Ålborg Amt,118819,1750-01-01,1950-01-01
Lindknud Sogn,114181,Ribe Amt,118855,1750-01-01,1950-01-01
Lindum Sogn,114182,Viborg Amt,118830,1750-01-01,1950-01-01
Linnerup Sogn,114183,Ringkøbing Amt,118853,1750-01-01,1822-01-16
Linnerup Sogn,114183,Århus Amt,118846,1822-01-16,1824-07-01
Linnerup Sogn,114183,Skanderborg Amt,118847,1824-07-01,1867-08-01
Linnerup Sogn,114183,Århus Amt,118846,1867-08-01,1950-01-01
Lumby Sogn,114191,Odensegård Amt,118800,1750-01-01,1809-05-01
Lumby Sogn,114191,Odense Amt,118809,1809-05-01,1950-01-01
Lundum Sogn,114200,Århus Amt,118846,1750-01-01,1824-07-01
Lundum Sogn,114200,Skanderborg Amt,118847,1824-07-01,1867-08-01
Lundum Sogn,114200,Århus Amt,118846,1867-08-01,1950-01-01
Lyby Sogn,114202,Viborg Amt,118830,1750-01-01,1950-01-01
Lyngby Sogn,114211,Randers Amt,118842,1750-01-01,1950-01-01
Lynge Sogn,114214,Sorø Amt,118785,1750-01-01,1950-01-01
Lyngs Sogn,114215,Thisted Amt,118826,1750-01-01,1950-01-01
Magleby Sogn,114235,Sorø Amt,118785,1750-01-01,1950-01-01
Løsning Sogn,114229,Vejle Amt,118849,1750-01-01,1950-01-01
Magleby Sogn,114237,Svendborg Amt,118813,1750-01-01,1950-01-01
Lihme Sogn,114166,Viborg Amt,118830,1750-01-01,1950-01-01
